class,difficulty,language,n,split
ambiguity,medium,en-US,9,test_hidden
comparison,medium,en-US,6,test_hidden
contract_status,medium,en-US,5,test_hidden
filtering,medium,en-US,6,test_hidden
grouped_aggregation,medium,en-US,16,test_hidden
out_of_scope,medium,en-US,3,test_hidden
ranking,medium,en-US,12,test_hidden
trend,medium,en-US,9,test_hidden
variance,medium,en-US,12,test_hidden
grouped_aggregation,easy,pt-BR,8,test_hidden
lookup,easy,pt-BR,17,test_hidden
out_of_scope,easy,pt-BR,3,test_hidden
comparison,hard,pt-BR,4,test_hidden
contract_status,hard,pt-BR,5,test_hidden
filtering,hard,pt-BR,3,test_hidden
ranking,hard,pt-BR,3,test_hidden
share_ratio,hard,pt-BR,15,test_hidden
trend,hard,pt-BR,8,test_hidden
variance,hard,pt-BR,6,test_hidden
ambiguity,medium,pt-BR,9,test_hidden
comparison,medium,pt-BR,6,test_hidden
contract_status,medium,pt-BR,5,test_hidden
filtering,medium,pt-BR,6,test_hidden
grouped_aggregation,medium,pt-BR,16,test_hidden
out_of_scope,medium,pt-BR,3,test_hidden
ranking,medium,pt-BR,12,test_hidden
trend,medium,pt-BR,9,test_hidden
variance,medium,pt-BR,12,test_hidden
grouped_aggregation,easy,en-US,10,test_public
lookup,easy,en-US,26,test_public
out_of_scope,easy,en-US,2,test_public
comparison,hard,en-US,20,test_public
contract_status,hard,en-US,6,test_public
filtering,hard,en-US,5,test_public
ranking,hard,en-US,5,test_public
share_ratio,hard,en-US,11,test_public
trend,hard,en-US,14,test_public
variance,hard,en-US,12,test_public
ambiguity,medium,en-US,18,test_public
comparison,medium,en-US,19,test_public
contract_status,medium,en-US,7,test_public
filtering,medium,en-US,17,test_public
grouped_aggregation,medium,en-US,20,test_public
out_of_scope,medium,en-US,2,test_public
ranking,medium,en-US,20,test_public
trend,medium,en-US,14,test_public
variance,medium,en-US,22,test_public
grouped_aggregation,easy,pt-BR,10,test_public
lookup,easy,pt-BR,26,test_public
out_of_scope,easy,pt-BR,2,test_public
comparison,hard,pt-BR,20,test_public
contract_status,hard,pt-BR,6,test_public
filtering,hard,pt-BR,5,test_public
ranking,hard,pt-BR,5,test_public
share_ratio,hard,pt-BR,11,test_public
trend,hard,pt-BR,14,test_public
variance,hard,pt-BR,12,test_public
ambiguity,medium,pt-BR,18,test_public
comparison,medium,pt-BR,19,test_public
contract_status,medium,pt-BR,7,test_public
filtering,medium,pt-BR,17,test_public
grouped_aggregation,medium,pt-BR,20,test_public
out_of_scope,medium,pt-BR,2,test_public
ranking,medium,pt-BR,20,test_public
trend,medium,pt-BR,14,test_public
variance,medium,pt-BR,22,test_public
grouped_aggregation,easy,en-US,7,validation
lookup,easy,en-US,16,validation
out_of_scope,easy,en-US,4,validation
comparison,hard,en-US,11,validation
contract_status,hard,en-US,4,validation
filtering,hard,en-US,4,validation
ranking,hard,en-US,3,validation
share_ratio,hard,en-US,11,validation
trend,hard,en-US,5,validation
variance,hard,en-US,7,validation
ambiguity,medium,en-US,6,validation
comparison,medium,en-US,11,validation
contract_status,medium,en-US,3,validation
filtering,medium,en-US,10,validation
grouped_aggregation,medium,en-US,15,validation
out_of_scope,medium,en-US,4,validation
ranking,medium,en-US,11,validation
trend,medium,en-US,4,validation
variance,medium,en-US,14,validation
grouped_aggregation,easy,pt-BR,7,validation
lookup,easy,pt-BR,16,validation
out_of_scope,easy,pt-BR,4,validation
comparison,hard,pt-BR,11,validation
contract_status,hard,pt-BR,4,validation
filtering,hard,pt-BR,4,validation
ranking,hard,pt-BR,3,validation
share_ratio,hard,pt-BR,11,validation
trend,hard,pt-BR,5,validation
variance,hard,pt-BR,7,validation
ambiguity,medium,pt-BR,6,validation
comparison,medium,pt-BR,11,validation
contract_status,medium,pt-BR,3,validation
filtering,medium,pt-BR,10,validation
grouped_aggregation,medium,pt-BR,15,validation
out_of_scope,medium,pt-BR,4,validation
ranking,medium,pt-BR,11,validation
trend,medium,pt-BR,4,validation
variance,medium,pt-BR,14,validation
